

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
  3   1.2218  0.9430  0.5200  0.5351  0.1118  0.8674  0.5702  1.3249  1.5684  1.4064  1.5582  0.9357  0.2009  0.0983  0.5339  0.8832  0.1964  0.1103  0.0595  0.3582  0.7547  0.4458  0.6727  0.4630  0.7013  0.1716  0.3413  0.2141  0.8994  0.3027  0.3703  0.8390  0.1305  0.5688
  4   1.2211  0.9427  0.5199  0.5350  0.1118  0.8672  0.5700  1.3245  1.5677  1.4055  1.5571  0.9350  0.2008  0.0983  0.5336  0.8827  0.1963  0.1102  0.0595  0.3581  0.7543  0.4456  0.6725  0.4628  0.7010  0.1715  0.3412  0.2140  0.8989  0.3026  0.3703  0.8387  0.1302  0.5677
  5   1.2208  0.9425  0.5198  0.5350  0.1117  0.8670  0.5699  1.3242  1.5673  1.4051  1.5566  0.9347  0.2007  0.0982  0.5336  0.8826  0.1963  0.1102  0.0595  0.3581  0.7542  0.4456  0.6724  0.4627  0.7009  0.1715  0.3411  0.2140  0.8989  0.3026  0.3703  0.8386  0.1300  0.5672
  6   1.2207  0.9424  0.5198  0.5349  0.1117  0.8670  0.5698  1.3240  1.5672  1.4049  1.5564  0.9346  0.2007  0.0982  0.5335  0.8825  0.1963  0.1102  0.0595  0.3580  0.7542  0.4456  0.6724  0.4627  0.7009  0.1715  0.3411  0.2140  0.8989  0.3026  0.3703  0.8385  0.1300  0.5670
  7   1.2206  0.9424  0.5198  0.5349  0.1117  0.8669  0.5698  1.3239  1.5671  1.4049  1.5564  0.9345  0.2007  0.0982  0.5335  0.8826  0.1963  0.1102  0.0595  0.3580  0.7542  0.4456  0.6724  0.4627  0.7008  0.1715  0.3411  0.2140  0.8989  0.3026  0.3703  0.8385  0.1299  0.5669
  8   1.2206  0.9424  0.5198  0.5349  0.1117  0.8669  0.5698  1.3239  1.5671  1.4049  1.5564  0.9345  0.2007  0.0982  0.5335  0.8826  0.1963  0.1102  0.0595  0.3580  0.7542  0.4456  0.6724  0.4627  0.7008  0.1714  0.3411  0.2140  0.8988  0.3026  0.3703  0.8385  0.1299  0.5668

EV SCALAR COMPARISONS FOR STOCK           GSQ
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   0.8991  1.0592  1.8707  2.0827  0.8373  2.1329  0.5006  1.0337  0.6165  0.7248  0.1598  0.3603  0.2398  0.2929  0.7623  1.1053  0.9304  1.2685  1.4702  1.2065  1.1614  1.1284  1.3166  1.2532  0.8609  0.8334  0.8434  0.8084  1.0252  0.8995  0.8582  0.8332  1.5362
  2   0.8971  1.0554  1.8607  2.0691  0.8327  2.1217  0.4979  1.0294  0.6140  0.7212  0.1589  0.3583  0.2388  0.2920  0.7594  1.0995  0.9295  1.2682  1.4697  1.2077  1.1646  1.1333  1.3233  1.2607  0.8657  0.8386  0.8494  0.8144  1.0352  0.9105  0.8710  0.8382  1.5449
  3   0.8962  1.0545  1.8591  2.0677  0.8325  2.1222  0.4983  1.0307  0.6150  0.7230  0.1593  0.3592  0.2393  0.2926  0.7618  1.1040  0.9315  1.2705  1.4732  1.2098  1.1655  1.1330  1.3221  1.2593  0.8646  0.8372  0.8473  0.8116  1.0309  0.9094  0.8717  0.8371  1.5420
  4   0.8958  1.0541  1.8586  2.0674  0.8324  2.1218  0.4981  1.0301  0.6145  0.7222  0.1592  0.3587  0.2390  0.2922  0.7603  1.1014  0.9302  1.2688  1.4703  1.2076  1.1635  1.1315  1.3207  1.2576  0.8636  0.8360  0.8462  0.8107  1.0294  0.9103  0.8747  0.8380  1.5425
  5   0.8956  1.0540  1.8585  2.0674  0.8324  2.1214  0.4980  1.0296  0.6142  0.7217  0.1590  0.3585  0.2389  0.2920  0.7599  1.1008  0.9298  1.2683  1.4697  1.2072  1.1631  1.1311  1.3203  1.2571  0.8634  0.8359  0.8462  0.8108  1.0293  0.9114  0.8773  0.8390  1.5435
  6   0.8955  1.0540  1.8584  2.0674  0.8324  2.1211  0.4978  1.0293  0.6141  0.7216  0.1590  0.3584  0.2388  0.2920  0.7599  1.1008  0.9297  1.2682  1.4697  1.2072  1.1631  1.1310  1.3201  1.2570  0.8633  0.8358  0.8461  0.8106  1.0291  0.9118  0.8785  0.8395  1.5439
  7   0.8955  1.0540  1.8584  2.0675  0.8324  2.1210  0.4978  1.0292  0.6140  0.7215  0.1590  0.3584  0.2388  0.2920  0.7599  1.1010  0.9298  1.2683  1.4698  1.2072  1.1631  1.1309  1.3200  1.2569  0.8633  0.8358  0.8460  0.8106  1.0289  0.9120  0.8792  0.8398  1.5441
  8   0.8955  1.0540  1.8584  2.0675  0.8324  2.1209  0.4978  1.0292  0.6140  0.7215  0.1590  0.3584  0.2388  0.2920  0.7599  1.1012  0.9298  1.2683  1.4699  1.2072  1.1631  1.1309  1.3199  1.2568  0.8632  0.8358  0.8460  0.8105  1.0288  0.9121  0.8796  0.8400  1.5443

EV SCALAR COMPARISONS FOR STOCK           GST
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   1.0678  0.6816  1.5048  0.8858  0.5406  0.8103  0.3441  0.9223  0.4963  1.0266  0.5769  0.4414  0.5040  0.8927  0.5523  0.4285  0.1817  0.2248  0.1938  0.2319  0.2142  0.1982  0.1723  0.1697  0.2002  0.2990  0.2618  0.1038  0.4034  0.4524  0.3317  0.3445  0.5378
  2   1.0606  0.6771  1.4903  0.8760  0.5343  0.7984  0.3387  0.9074  0.4879  1.0066  0.5645  0.4319  0.4951  0.8774  0.5420  0.4220  0.1803  0.2234  0.1914  0.2303  0.2134  0.1975  0.1711  0.1690  0.2000  0.2982  0.2610  0.1038  0.4040  0.4530  0.3349  0.3512  0.5445
  3   1.0577  0.6756  1.4858  0.8742  0.5340  0.7983  0.3388  0.9091  0.4899  1.0122  0.5689  0.4356  0.4994  0.8856  0.5480  0.4261  0.1814  0.2247  0.1934  0.2320  0.2145  0.1987  0.1727  0.1703  0.2010  0.3005  0.2634  0.1043  0.4058  0.4558  0.3395  0.3587  0.5526
  4   1.0567  0.6752  1.4845  0.8737  0.5341  0.7987  0.3390  0.9098  0.4903  1.0127  0.5690  0.4356  0.4991  0.8848  0.5469  0.4254  0.1812  0.2244  0.1929  0.2315  0.2141  0.1982  0.1720  0.1697  0.2003  0.2990  0.2617  0.1039  0.4036  0.4526  0.3385  0.3613  0.5541
  5   1.0564  0.6752  1.4844  0.8738  0.5343  0.7990  0.3392  0.9101  0.4903  1.0127  0.5688  0.4353  0.4987  0.8839  0.5461  0.4251  0.1811  0.2242  0.1926  0.2313  0.2139  0.1980  0.1718  0.1695  0.2002  0.2987  0.2615  0.1038  0.4035  0.4525  0.3395  0.3648  0.5581
  6   1.0564  0.6753  1.4846  0.8740  0.5344  0.7992  0.3392  0.9102  0.4903  1.0126  0.5687  0.4351  0.4984  0.8835  0.5458  0.4249  0.1810  0.2241  0.1926  0.2313  0.2139  0.1980  0.1718  0.1695  0.2002  0.2988  0.2617  0.1039  0.4038  0.4527  0.3404  0.3671  0.5607
  7   1.0564  0.6754  1.4848  0.8741  0.5344  0.7993  0.3393  0.9102  0.4902  1.0125  0.5686  0.4350  0.4983  0.8833  0.5457  0.4250  0.1810  0.2241  0.1926  0.2313  0.2139  0.1980  0.1719  0.1695  0.2002  0.2989  0.2617  0.1039  0.4039  0.4528  0.3408  0.3683  0.5620
  8   1.0564  0.6754  1.4849  0.8742  0.5344  0.7993  0.3393  0.9101  0.4902  1.0125  0.5686  0.4349  0.4983  0.8833  0.5457  0.4250  0.1810  0.2242  0.1926  0.2313  0.2139  0.1980  0.1719  0.1695  0.2002  0.2989  0.2618  0.1039  0.4039  0.4528  0.3409  0.3689  0.5627

EV SCALAR COMPARISONS FOR STOCK           GSH
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   0.8752  0.4994  1.5055  1.5611  0.7217  0.3149  0.1591  0.3865  0.2772  0.5513  0.2742  0.3003  0.2184  0.3192  0.3302  0.4292  0.2597  0.3518  0.3411  0.3428  0.4185  0.1978  0.3756  0.2719  0.3480  0.0489  0.2995  0.1089  0.1496  0.1315  0.1088  0.1225  0.3073
  2   0.8718  0.4982  1.4936  1.5559  0.7192  0.3118  0.1585  0.3854  0.2744  0.5475  0.2717  0.2964  0.2171  0.3177  0.3264  0.4261  0.2598  0.3520  0.3413  0.3430  0.4189  0.1980  0.3761  0.2722  0.3484  0.0490  0.3001  0.1091  0.1501  0.1318  0.1099  0.1246  0.3115
  3   0.8701  0.4977  1.4899  1.5550  0.7196  0.3119  0.1586  0.3858  0.2752  0.5490  0.2728  0.2982  0.2178  0.3187  0.3287  0.4282  0.2600  0.3523  0.3416  0.3433  0.4193  0.1982  0.3764  0.2723  0.3486  0.0490  0.3001  0.1091  0.1501  0.1317  0.1104  0.1261  0.3147
  4   0.8692  0.4974  1.4886  1.5539  0.7193  0.3119  0.1586  0.3856  0.2750  0.5485  0.2723  0.2976  0.2176  0.3184  0.3279  0.4274  0.2599  0.3521  0.3415  0.3431  0.4191  0.1980  0.3761  0.2722  0.3484  0.0490  0.3000  0.1091  0.1499  0.1317  0.1106  0.1272  0.3173
  5   0.8688  0.4973  1.4882  1.5531  0.7190  0.3118  0.1585  0.3854  0.2748  0.5482  0.2721  0.2973  0.2174  0.3182  0.3276  0.4271  0.2598  0.3520  0.3413  0.3431  0.4189  0.1980  0.3760  0.2721  0.3483  0.0490  0.2999  0.1090  0.1498  0.1316  0.1108  0.1280  0.3192
  6   0.8685  0.4972  1.4882  1.5527  0.7188  0.3118  0.1584  0.3852  0.2747  0.5480  0.2720  0.2972  0.2173  0.3180  0.3276  0.4271  0.2597  0.3520  0.3413  0.3430  0.4189  0.1979  0.3760  0.2721  0.3483  0.0490  0.2999  0.1090  0.1498  0.1316  0.1109  0.1285  0.3204
  7   0.8684  0.4972  1.4883  1.5524  0.7186  0.3118  0.1584  0.3851  0.2747  0.5480  0.2720  0.2972  0.2173  0.3180  0.3277  0.4272  0.2597  0.3520  0.3413  0.3430  0.4188  0.1979  0.3759  0.2721  0.3483  0.0490  0.2998  0.1090  0.1498  0.1316  0.1110  0.1288  0.3211
  8   0.8684  0.4972  1.4884  1.5523  0.7186  0.3118  0.1584  0.3851  0.2747  0.5480  0.2720  0.2972  0.2173  0.3180  0.3277  0.4272  0.2597  0.3520  0.3412  0.3429  0.4188  0.1979  0.3759  0.2721  0.3482  0.0490  0.2998  0.1090  0.1498  0.1316  0.1110  0.1290  0.3215

EV SCALAR COMPARISONS FOR STOCK           NKF
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   2.0086  2.8006  2.5427  1.7404  0.9453  1.1114  1.4955  1.3929  1.1085  0.8558  0.6208  0.5884  0.3449  0.6260  0.4842  0.5966  0.5652  0.6423  0.9980  1.0142  0.6397  0.3738  0.3655  0.5834  0.6963  0.6011  0.5237  0.5994  0.6829  0.7206  0.6718  0.5695  0.7035  0.9006
  2   2.0040  2.7956  2.5372  1.7277  0.9431  1.1075  1.4902  1.3874  1.1032  0.8511  0.6164  0.5847  0.3426  0.6228  0.4781  0.5903  0.5651  0.6423  0.9980  1.0143  0.6399  0.3739  0.3656  0.5836  0.6965  0.6016  0.5248  0.6001  0.6839  0.7223  0.6762  0.5746  0.6762  0.8809
  3   2.0017  2.7932  2.5353  1.7250  0.9433  1.1081  1.4913  1.3894  1.1056  0.8535  0.6188  0.5865  0.3438  0.6246  0.4820  0.5942  0.5655  0.6429  0.9990  1.0153  0.6404  0.3742  0.3659  0.5841  0.6973  0.6020  0.5252  0.6002  0.6840  0.7223  0.6794  0.5806  0.6639  0.8713
  4   2.0006  2.7920  2.5342  1.7244  0.9432  1.1079  1.4910  1.3891  1.1051  0.8529  0.6183  0.5861  0.3436  0.6242  0.4809  0.5933  0.5653  0.6426  0.9986  1.0149  0.6402  0.3741  0.3658  0.5839  0.6969  0.6017  0.5245  0.5999  0.6836  0.7219  0.6812  0.5851  0.6584  0.8668
  5   2.0000  2.7914  2.5336  1.7245  0.9430  1.1075  1.4904  1.3885  1.1046  0.8524  0.6179  0.5857  0.3433  0.6237  0.4804  0.5927  0.5652  0.6425  0.9984  1.0147  0.6400  0.3740  0.3657  0.5837  0.6967  0.6016  0.5243  0.5998  0.6835  0.7218  0.6824  0.5883  0.6561  0.8647
  6   1.9997  2.7911  2.5333  1.7247  0.9428  1.1073  1.4900  1.3880  1.1043  0.8522  0.6177  0.5855  0.3432  0.6235  0.4803  0.5926  0.5652  0.6424  0.9983  1.0146  0.6400  0.3739  0.3657  0.5837  0.6966  0.6015  0.5243  0.5998  0.6835  0.7216  0.6831  0.5902  0.6550  0.8636
  7   1.9996  2.7909  2.5331  1.7250  0.9427  1.1071  1.4897  1.3877  1.1042  0.8521  0.6176  0.5854  0.3432  0.6234  0.4803  0.5927  0.5652  0.6424  0.9982  1.0145  0.6399  0.3739  0.3656  0.5836  0.6966  0.6015  0.5243  0.5998  0.6834  0.7215  0.6834  0.5912  0.6546  0.8631
  8   1.9995  2.7908  2.5330  1.7251  0.9427  1.1070  1.4896  1.3876  1.1041  0.8521  0.6176  0.5854  0.3432  0.6234  0.4804  0.5928  0.5651  0.6424  0.9982  1.0145  0.6399  0.3739  0.3656  0.5836  0.6966  0.6015  0.5243  0.5998  0.6834  0.7214  0.6835  0.5918  0.6544  0.8629

EV SCALAR COMPARISONS FOR STOCK           PSF
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.6190  0.7774  0.5933  0.6467  0.8535  0.8487  0.9546  0.8731  0.4865  0.3433  0.2470  0.2923  0.4950  0.5590  0.5040  0.2870  0.3355  0.3679  0.4283  0.4494  0.4273  0.4223  0.4796  0.5660  0.6501  0.5026  0.4113  0.3979  0.4340  0.5073  0.4848  0.3540  0.3960  0.5090
  2   0.6167  0.7732  0.5887  0.6410  0.8449  0.8374  0.9381  0.8561  0.4760  0.3340  0.2390  0.2821  0.4760  0.5345  0.4998  0.2850  0.3338  0.3657  0.4254  0.4461  0.4241  0.4189  0.4746  0.5593  0.6432  0.5030  0.4117  0.3984  0.4345  0.5082  0.4865  0.3544  0.3828  0.4884
  3   0.6158  0.7719  0.5874  0.6400  0.8442  0.8370  0.9385  0.8583  0.4782  0.3365  0.2415  0.2860  0.4845  0.5467  0.5025  0.2857  0.3351  0.3675  0.4276  0.4486  0.4266  0.4217  0.4784  0.5644  0.6489  0.5034  0.4119  0.3984  0.4345  0.5083  0.4875  0.3555  0.3770  0.4784
  4   0.6154  0.7715  0.5872  0.6399  0.8445  0.8378  0.9400  0.8599  0.4794  0.3375  0.2423  0.2869  0.4860  0.5484  0.5023  0.2855  0.3350  0.3674  0.4275  0.4485  0.4265  0.4215  0.4782  0.5641  0.6484  0.5031  0.4117  0.3982  0.4343  0.5081  0.4879  0.3564  0.3745  0.4734
  5   0.6153  0.7715  0.5873  0.6401  0.8450  0.8384  0.9409  0.8607  0.4797  0.3377  0.2425  0.2869  0.4856  0.5476  0.5019  0.2854  0.3349  0.3672  0.4272  0.4483  0.4262  0.4212  0.4778  0.5636  0.6478  0.5030  0.4116  0.3982  0.4343  0.5080  0.4882  0.3570  0.3734  0.4710
  6   0.6153  0.7716  0.5874  0.6402  0.8452  0.8387  0.9413  0.8609  0.4798  0.3377  0.2424  0.2866  0.4850  0.5467  0.5017  0.2853  0.3348  0.3670  0.4271  0.4481  0.4260  0.4210  0.4776  0.5633  0.6474  0.5030  0.4116  0.3982  0.4343  0.5080  0.4884  0.3574  0.3729  0.4699
  7   0.6153  0.7717  0.5875  0.6403  0.8454  0.8389  0.9414  0.8608  0.4797  0.3376  0.2423  0.2865  0.4846  0.5463  0.5016  0.2852  0.3348  0.3670  0.4271  0.4481  0.4260  0.4210  0.4775  0.5632  0.6474  0.5029  0.4116  0.3982  0.4342  0.5079  0.4884  0.3576  0.3727  0.4693
  8   0.6153  0.7717  0.5876  0.6404  0.8454  0.8389  0.9414  0.8608  0.4796  0.3375  0.2422  0.2864  0.4845  0.5461  0.5016  0.2852  0.3348  0.3670  0.4271  0.4481  0.4260  0.4210  0.4775  0.5632  0.6474  0.5029  0.4116  0.3982  0.4342  0.5079  0.4884  0.3578  0.3726  0.4690

EV SCALAR COMPARISONS FOR STOCK           PSN
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.9403  1.0016  1.0245  0.9428  1.2781  1.1674  1.2197  1.0373  0.8206  0.6615  0.5382  0.5082  0.5110  0.4586  0.4906  0.4882  0.4524  0.4450  0.5244  0.4766  0.3947  0.5694  0.4119  0.4401  0.4625  0.5358  0.3216  0.2595  0.3023  0.3258  0.3620  0.2341  0.2104  0.2214
  2   0.9378  0.9983  1.0189  0.9372  1.2700  1.1588  1.2083  1.0280  0.8159  0.6571  0.5337  0.5040  0.5063  0.4531  0.4855  0.4846  0.4502  0.4421  0.5212  0.4752  0.3938  0.5673  0.4108  0.4394  0.4621  0.5353  0.3216  0.2596  0.3025  0.3261  0.3630  0.2348  0.2048  0.2142
  3   0.9366  0.9970  1.0173  0.9362  1.2693  1.1586  1.2089  1.0298  0.8178  0.6592  0.5360  0.5061  0.5089  0.4565  0.4889  0.4871  0.4520  0.4446  0.5242  0.4768  0.3950  0.5701  0.4125  0.4407  0.4633  0.5371  0.3223  0.2601  0.3029  0.3267  0.3641  0.2359  0.2025  0.2107
  4   0.9360  0.9966  1.0169  0.9361  1.2694  1.1588  1.2095  1.0303  0.8178  0.6590  0.5358  0.5059  0.5087  0.4560  0.4883  0.4865  0.4516  0.4440  0.5234  0.4763  0.3946  0.5690  0.4118  0.4402  0.4627  0.5361  0.3218  0.2597  0.3025  0.3261  0.3636  0.2360  0.2011  0.2086
  5   0.9358  0.9964  1.0169  0.9361  1.2695  1.1590  1.2097  1.0302  0.8175  0.6587  0.5355  0.5055  0.5082  0.4555  0.4877  0.4861  0.4513  0.4436  0.5230  0.4761  0.3944  0.5686  0.4116  0.4400  0.4625  0.5359  0.3217  0.2596  0.3024  0.3260  0.3636  0.2364  0.2007  0.2078
  6   0.9357  0.9964  1.0170  0.9362  1.2697  1.1590  1.2097  1.0301  0.8172  0.6585  0.5353  0.5053  0.5080  0.4552  0.4875  0.4860  0.4512  0.4436  0.5229  0.4761  0.3944  0.5687  0.4116  0.4400  0.4625  0.5359  0.3217  0.2597  0.3024  0.3260  0.3637  0.2367  0.2005  0.2074
  7   0.9356  0.9964  1.0171  0.9362  1.2697  1.1590  1.2097  1.0299  0.8171  0.6584  0.5352  0.5052  0.5079  0.4552  0.4875  0.4861  0.4513  0.4436  0.5230  0.4761  0.3944  0.5687  0.4116  0.4400  0.4625  0.5359  0.3217  0.2597  0.3024  0.3260  0.3638  0.2368  0.2005  0.2072
  8   0.9356  0.9964  1.0172  0.9363  1.2698  1.1590  1.2096  1.0299  0.8170  0.6583  0.5351  0.5052  0.5079  0.4552  0.4876  0.4861  0.4513  0.4437  0.5231  0.4761  0.3944  0.5688  0.4116  0.4400  0.4626  0.5359  0.3217  0.2597  0.3024  0.3260  0.3638  0.2369  0.2004  0.2071

EV SCALAR COMPARISONS FOR STOCK           NKS
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
